method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
Hungarian+PBS-MLA*,20,500,581,110540,13.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,500,582,109167,18.6,+0.2%,-1.2%,+35.8%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,0.2,2512,11791,2.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,0.2,2516,11995,10.7,+0.2%,+1.7%,+345.8%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,0.5,1028,12127,3.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,0.5,1023,12123,7.7,-0.5%,-0.0%,+148.4%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,1,532,13742,5.2,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,1,540,13747,7.8,+1.5%,+0.0%,+50.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,2,432,36507,3.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,2,438,36026,3.8,+1.4%,-1.3%,+2.7%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,5,414,60132,5.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,5,407,59339,1357.1,-1.7%,-1.3%,+23708.8%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,10,402,68987,7.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,10,408,68413,2727.4,+1.5%,-0.8%,+35320.8%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,500,400,76759,9.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,30,500,401,76552,3802.7,+0.2%,-0.3%,+40354.3%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,0.2,2514,11602,2.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,0.2,2516,11334,2464.4,+0.1%,-2.3%,+87914.3%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,0.5,1028,11735,3.9,-,-,-,original,Hungarian+PBS-MLA*
