method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
LNS(1s)+PBS-MLA*,40,0.5,-0.10,2.10,-15.7,rt
LNS(1s)+PBS-MLA*,50,0.5,-0.40,0.10,-3.8,rt
LNS(1s)+PBS-MLA*,10,1,-0.60,-0.90,20.9,rt
LNS(1s)+PBS-MLA*,20,1,0.00,-2.10,-34.4,rt
LNS(1s)+PBS-MLA*,30,1,0.60,2.10,-45.6,rt
LNS(1s)+PBS-MLA*,40,1,1.90,4.10,-46.0,swt+rt
LNS(1s)+PBS-MLA*,50,1,0.00,1.30,-46.5,rt
LNS(1s)+PBS-MLA*,10,2,0.30,-0.60,20.0,rt
LNS(1s)+PBS-MLA*,20,2,1.00,-0.20,-37.1,rt
LNS(1s)+PBS-MLA*,30,2,0.00,2.40,-56.8,rt
LNS(1s)+PBS-MLA*,40,2,-2.40,1.20,-65.9,rt
LNS(1s)+PBS-MLA*,50,2,-1.00,0.90,-69.7,rt
LNS(1s)+PBS-MLA*,10,5,-2.20,-1.80,11.3,rt
LNS(1s)+PBS-MLA*,20,5,-0.20,0.50,-40.7,rt
LNS(1s)+PBS-MLA*,30,5,1.70,0.10,-56.2,rt
LNS(1s)+PBS-MLA*,40,5,0.60,2.10,-65.6,rt
LNS(1s)+PBS-MLA*,50,5,-2.20,-1.30,-72.7,rt
LNS(1s)+PBS-MLA*,10,10,-2.00,-0.40,19.6,rt
LNS(1s)+PBS-MLA*,20,10,-2.70,-0.50,-43.3,rt
LNS(1s)+PBS-MLA*,30,10,0.00,-1.30,-57.7,rt
LNS(1s)+PBS-MLA*,40,10,1.90,-1.20,-65.6,rt
LNS(1s)+PBS-MLA*,50,10,1.20,-0.70,-74.2,rt
LNS(1s)+PBS-MLA*,10,500,-0.70,-0.80,10.5,rt
LNS(1s)+PBS-MLA*,20,500,0.30,-0.40,-37.3,rt
LNS(1s)+PBS-MLA*,30,500,1.30,0.70,-60.4,rt
LNS(1s)+PBS-MLA*,40,500,-2.80,-0.90,-68.5,rt
LNS(1s)+PBS-MLA*,50,500,1.20,0.50,-73.8,rt
LNS(1s)+PBS-MLSIPP,10,0.2,0.00,0.80,155.1,rt
LNS(1s)+PBS-MLSIPP,30,0.2,0.10,-1.90,13.3,rt
LNS(1s)+PBS-MLSIPP,40,0.2,0.10,-2.80,12.2,rt
LNS(1s)+PBS-MLSIPP,50,0.2,0.10,-2.20,202.3,rt
LNS(1s)+PBS-MLSIPP,10,0.5,-0.50,-1.20,26.5,rt
LNS(1s)+PBS-MLSIPP,20,0.5,-0.50,2.20,-13.1,rt
LNS(1s)+PBS-MLSIPP,30,0.5,-0.70,0.40,-10.9,rt
LNS(1s)+PBS-MLSIPP,40,0.5,-0.70,0.10,-14.8,rt
